metadata,timesteps,grid_buying_price_units,grid_buying_price_values,gen_PV_units,gen_PV_values,e_bat_capacity_units,e_bat_capacity_values,e_bat_SOC_ini,e_bat_SOC_min,e_bat_SOC_max,e_bat_charging_power_units,e_bat_charging_power_values,electrolyzer_max_power_units,electrolyzer_max_power_values,electrolyzer_performance_units,electrolyzer_performance_values,H2_demand_units,H2_demand_values,H2_storage_SOC_capacity_units,H2_storage_SOC_capacity_values,H2_storage_SOC_ini,H2_storage_SOC_min,H2_storage_SOC_max,labels,prediction_label_min2,prediction_label_max2,estimated_labels,min_energy_MINLP,is_valid_MINLP,min_energy_uniform_annealer,is_valid_uniform_annealer,min_energy,is_valid
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[142.70054998831512, 148.31452333759063]",MW,"[19.632327006687458, 8.504318123021521]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[2.2, 2.2]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1095642600.0,859158850.0,"[1095642600.0, 500000000, 859158850.0, 100000000]",,,-1859910458.547112,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[157.59490701331637, 121.37068032234014]",MW,"[11.213388018886226, 9.121477893404618]",MWh,"[5.0, 5.0]",0.7,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1097154800.0,858002900.0,"[1097154800.0, 500000000, 858002900.0, 100000000]",,,-3182221655.8288894,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[159.01551180242964, 120.42935915706968]",MW,"[13.854209797984003, 8.554086023660343]",MWh,"[5.0, 5.0]",0.6,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1094206100.0,853791400.0,"[1094206100.0, 500000000, 853791400.0, 100000000]",,,-3688888326.882223,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[148.80340834177636, 143.07918662154688]",MW,"[13.35461125621842, 7.165344069022001]",MWh,"[5.0, 5.0]",0.7,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1093381200.0,853534200.0,"[1093381200.0, 500000000, 853534200.0, 100000000]",,,-3182221554.515556,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[125.86251292297607, 112.0421362062029]",MW,"[20.978828112467177, 9.942940257603565]",MWh,"[5.0, 5.0]",0.6,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1080000000.0, 100000000.0, 840000000.0]",1090528600.0,852276200.0,"[1090528600.0, 500000000, 852276200.0, 100000000]",,,-3688888366.0355554,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[158.94220196057523, 133.15305009373176]",MW,"[20.38850344942698, 8.360593674893854]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[2.0, 2.0]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1080000000.0, 100000000.0, 840000000.0]",1096612900.0,855583100.0,"[1096612900.0, 500000000, 855583100.0, 100000000]",,,-1591110578.5111115,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[154.7103049504232, 127.23749536991636]",MW,"[16.723365440813744, 11.55180074189121]",MWh,"[5.0, 5.0]",0.7999999999999999,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1094233200.0,855188200.0,"[1094233200.0, 500000000, 855188200.0, 100000000]",,,-2728887998.208889,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[157.2599093407955, 150.3027357756921]",MW,"[21.02244018629162, 10.203640390806909]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1096253700.0,855808960.0,"[1096253700.0, 500000000, 855808960.0, 100000000]",,,-4231110059.0111103,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[176.86378327794526, 106.93318467737178]",MW,"[14.790161261036605, 13.100142877990324]",MWh,"[5.0, 5.0]",0.7,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1096921900.0,857176200.0,"[1096921900.0, 500000000, 857176200.0, 100000000]",,,-3182221723.215556,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[176.57166213262215, 152.56543131533988]",MW,"[12.403310260814742, 9.14338351572674]",MWh,"[5.0, 5.0]",0.7999999999999999,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1095417500.0,855156700.0,"[1095417500.0, 500000000, 855156700.0, 100000000]",,,-2728887820.8988886,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[128.30643614243994, 158.39631732959964]",MW,"[14.08006920945464, 7.963693660820243]",MWh,"[5.0, 5.0]",0.7,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1092844500.0,854135300.0,"[1092844500.0, 500000000, 854135300.0, 100000000]",,,-3182221483.022223,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[143.5343745918122, 131.14696286752252]",MW,"[11.473176189256858, 7.405921360706727]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1093367300.0,854847040.0,"[1093367300.0, 500000000, 854847040.0, 100000000]",,,-4231110193.061111,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[124.21769655125419, 129.69943584367218]",MW,"[19.626061211069274, 9.047542508147233]",MWh,"[5.0, 5.0]",0.7999999999999999,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1090274200.0,851441860.0,"[1090274200.0, 500000000, 851441860.0, 100000000]",,,-2728887980.9888887,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[136.2208279109501, 119.88828446810277]",MW,"[15.389233520642028, 7.614296097264517]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[3.8000000000000016, 3.8000000000000016]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1060000000.0, 100000000.0, 820000000.0]",1095537300.0,855532600.0,"[1095537300.0, 500000000, 855532600.0, 100000000]",,,-4931910199.94711,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[124.90915070353572, 120.9865756035264]",MW,"[13.31297746049553, 9.174680417936168]",MWh,"[5.0, 5.0]",0.6,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1096130400.0,856395000.0,"[1096130400.0, 500000000, 856395000.0, 100000000]",,,-3688888324.268889,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[178.63442690597898, 158.07421640295792]",MW,"[12.752259978001344, 9.553470452414144]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[3.000000000000001, 3.000000000000001]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1089417200.0,851358200.0,"[1089417200.0, 500000000, 851358200.0, 100000000]",,,-3191110162.6911106,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[138.46724520977207, 151.8520346371942]",MW,"[13.921414484646869, 8.5767242784941]",MWh,"[5.0, 5.0]",0.7,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1080000000.0, 100000000.0, 840000000.0]",1095135100.0,855276400.0,"[1095135100.0, 500000000, 855276400.0, 100000000]",,,-3182221513.5888886,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[137.77505091648558, 106.53865668684013]",MW,"[18.03715311690739, 13.216742002921528]",MWh,"[5.0, 5.0]",0.7,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1093642500.0,854082240.0,"[1093642500.0, 500000000, 854082240.0, 100000000]",,,-3182221725.0355554,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[150.864635770735, 125.76997288003737]",MW,"[12.177150093654163, 11.086372893617574]",MWh,"[5.0, 5.0]",0.7999999999999999,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1095432100.0,854524740.0,"[1095432100.0, 500000000, 854524740.0, 100000000]",,,-2728888008.498889,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[159.2626049448339, 127.88539942936582]",MW,"[17.6798784455554, 7.628506060942591]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1094584400.0,855000100.0,"[1094584400.0, 500000000, 855000100.0, 100000000]",,,-4231110215.88111,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[122.68030694497163, 119.32995572124958]",MW,"[19.99961355381425, 13.298420345538709]",MWh,"[5.0, 5.0]",0.6,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1040000000.0, 100000000.0, 800000000.0]",1095630100.0,855989440.0,"[1095630100.0, 500000000, 855989440.0, 100000000]",,,-3688888332.015556,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[151.59394909198593, 132.10207876758975]",MW,"[18.752556145773752, 7.394883763597075]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1093236000.0,854454100.0,"[1093236000.0, 500000000, 854454100.0, 100000000]",,,-4231110186.41111,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[176.5387613781323, 120.69270773153868]",MW,"[16.84691939610463, 10.92130570161246]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1060000000.0, 100000000.0, 820000000.0]",1097249800.0,856940300.0,"[1097249800.0, 500000000, 856940300.0, 100000000]",,,-4231110266.28111,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[131.8010777795467, 136.83658121656444]",MW,"[12.76981854311308, 12.5750833086031]",MWh,"[5.0, 5.0]",0.7999999999999999,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1096291800.0,855622400.0,"[1096291800.0, 500000000, 855622400.0, 100000000]",,,-2728887931.008888,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[181.8779171660584, 120.17786303958064]",MW,"[17.759279969757547, 7.069474014648857]",MWh,"[5.0, 5.0]",0.6,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1080000000.0, 100000000.0, 840000000.0]",1076544100.0,842785800.0,"[1076544100.0, 500000000, 842785800.0, 100000000]",,,-3688888328.0488887,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[167.83041536613706, 115.59728390833696]",MW,"[20.624879419665444, 12.360905241760536]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[2.2, 2.2]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1096351900.0,855478900.0,"[1096351900.0, 500000000, 855478900.0, 100000000]",,,-1859910602.471112,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[173.4294914634832, 139.68344007143114]",MW,"[17.373827805461712, 13.2464778182654]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[3.000000000000001, 3.000000000000001]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1087808800.0,850401540.0,"[1087808800.0, 500000000, 850401540.0, 100000000]",,,-3191110273.031111,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[181.51676201104806, 155.70532819666198]",MW,"[16.19103354385766, 12.761627590859824]",MWh,"[5.0, 5.0]",0.7999999999999999,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1096313100.0,857512200.0,"[1096313100.0, 500000000, 857512200.0, 100000000]",,,-2728887798.918889,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[145.88927199197974, 114.59283538875363]",MW,"[18.098772405374174, 11.12294777790547]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1092211300.0,854790800.0,"[1092211300.0, 500000000, 854790800.0, 100000000]",,,-4231110308.9811096,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[167.9712594855979, 109.41835397688257]",MW,"[21.319416642997368, 7.753997154187442]",MWh,"[5.0, 5.0]",0.7999999999999999,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1096463100.0,854886500.0,"[1096463100.0, 500000000, 854886500.0, 100000000]",,,-2728888122.948889,False,,
